"mapping_id","entity_type","legacy_url","legacy_path","legacy_slug","proposed_new_path","new_content_key","migration_action","redirect_status","mapping_status","note","source_sitemap","legacy_lastmod"
"MAP-0058","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-investering/","/nl/lessons/boeken-van-aankoopfactuur-met-investering/","boeken-van-aankoopfactuur-met-investering","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-investering/","lesson:boeken-van-aankoopfactuur-met-investering","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:55:37+00:00"
"MAP-0059","lesson","https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/","/nl/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/","boeken-van-aankoopfactuur-met-kostenplaatsen","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/","lesson:boeken-van-aankoopfactuur-met-kostenplaatsen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:52:43+00:00"
"MAP-0060","lesson","https://academy.octopus.be/nl/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/","/nl/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/","boeken-van-een-aankoopfactuur-met-beroepsgedeelte","/nl/cursussen/hoe-een-boeking-inbrengen/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/","lesson:boeken-van-een-aankoopfactuur-met-beroepsgedeelte","migrate+redirect","301","todo","Afgeleid uit aankoopfactuur-cluster binnen hoe-een-boeking-inbrengen.","sfwd-lessons-sitemap.xml","2025-03-27T15:25:22+00:00"
"MAP-0061","lesson","https://academy.octopus.be/nl/lessons/boekjaren/","/nl/lessons/boekjaren/","boekjaren","/nl/cursussen/menu-beheer/lessons/boekjaren/","lesson:boekjaren","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:46:51+00:00"
"MAP-0062","lesson","https://academy.octopus.be/nl/lessons/btw-aangifte/","/nl/lessons/btw-aangifte/","btw-aangifte","/nl/cursussen/lijsten-in-octopus/lessons/btw-aangifte/","lesson:btw-aangifte","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:34:11+00:00"
"MAP-0063","lesson","https://academy.octopus.be/nl/lessons/btw-codes/","/nl/lessons/btw-codes/","btw-codes","/nl/cursussen/menu-beheer/lessons/btw-codes/","lesson:btw-codes","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:44:46+00:00"
"MAP-0064","lesson","https://academy.octopus.be/nl/lessons/btw-listing/","/nl/lessons/btw-listing/","btw-listing","/nl/cursussen/lijsten-in-octopus/lessons/btw-listing/","lesson:btw-listing","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:35:46+00:00"
"MAP-0065","lesson","https://academy.octopus.be/nl/lessons/coda-mandaat-zelf-importeren/","/nl/lessons/coda-mandaat-zelf-importeren/","coda-mandaat-zelf-importeren","/nl/cursussen/coda/lessons/coda-mandaat-zelf-importeren/","lesson:coda-mandaat-zelf-importeren","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:28:45+00:00"
"MAP-0066","lesson","https://academy.octopus.be/nl/lessons/dagboeken/","/nl/lessons/dagboeken/","dagboeken","/nl/cursussen/menu-beheer/lessons/dagboeken/","lesson:dagboeken","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:45:47+00:00"
"MAP-0067","lesson","https://academy.octopus.be/nl/lessons/dagboeken-2/","/nl/lessons/dagboeken-2/","dagboeken-2","/nl/cursussen/lijsten-in-octopus/lessons/dagboeken-2/","lesson:dagboeken-2","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:26:55+00:00"
