"mapping_id","entity_type","old_url","new_url","status","note"
"MAP-0108","lesson","https://academy.octopus.be/nl/lessons/offertes-of-leveringsnotas-aanmaken-en-bundelen/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/offertes-of-leveringsnotas-aanmaken-en-bundelen/","301",""
"MAP-0109","lesson","https://academy.octopus.be/nl/lessons/omzetvergelijking-btw/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/omzetvergelijking-btw/","301",""
"MAP-0110","lesson","https://academy.octopus.be/nl/lessons/omzetvergelijking-klanten-of-leveranciers/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/omzetvergelijking-klanten-of-leveranciers/","301",""
"MAP-0111","lesson","https://academy.octopus.be/nl/lessons/opzoeken-documenten-en-controle-dubbele-boekingen/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/opzoeken-documenten-en-controle-dubbele-boekingen/","301",""
"MAP-0112","lesson","https://academy.octopus.be/nl/lessons/opzoeken-gekoppeld-document-2/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/opzoeken-gekoppeld-document-2/","301",""
"MAP-0113","lesson","https://academy.octopus.be/nl/lessons/oss-aangifte/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/oss-aangifte/","301",""
"MAP-0114","lesson","https://academy.octopus.be/nl/lessons/overzicht-leningen/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/overzicht-leningen/","301",""
"MAP-0115","lesson","https://academy.octopus.be/nl/lessons/rappels/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/rappels/","301",""
"MAP-0116","lesson","https://academy.octopus.be/nl/lessons/rekeningen/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/rekeningen/","301",""
"MAP-0117","lesson","https://academy.octopus.be/nl/lessons/relaties/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/relaties/","301",""
"MAP-0118","lesson","https://academy.octopus.be/nl/lessons/uploaden-doc-via-div/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/uploaden-doc-via-div/","301","Legacy URL eindigt vandaag op 404 via redirect chain; DMS-koppeling op basis van slug en sitemap image metadata."
"MAP-0119","lesson","https://academy.octopus.be/nl/lessons/verkoopfacturen/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/verkoopfacturen/","301",""
"MAP-0120","lesson","https://academy.octopus.be/nl/lessons/verkoopfacturen-2/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/verkoopfacturen-2/","301",""
"MAP-0121","lesson","https://academy.octopus.be/nl/lessons/verkoopfacturen-en-creditnotas/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/verkoopfacturen-en-creditnotas/","301",""
"MAP-0122","lesson","https://academy.octopus.be/nl/lessons/wachtwoord-wijzigen/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/wachtwoord-wijzigen/","301",""
"MAP-0123","lesson","https://academy.octopus.be/nl/lessons/wat-is-dms/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/wat-is-dms/","301",""
"MAP-0124","lesson","https://academy.octopus.be/nl/lessons/werken-met-het-klantenportaal-voor-accountants/","https://academy.octopus.be/nl/cursussen/klantenportaal/lessons/werken-met-het-klantenportaal-voor-accountants/","301","Titel en media duiden op klantenportaal; gemapt onder klantenportaal."
"MAP-0014","page","https://academy.octopus.be/nl/my-account/","https://academy.octopus.be/nl/account/","301",""
"MAP-0015","page","https://academy.octopus.be/nl/my-account/mijn-cursussen/","https://academy.octopus.be/nl/account/cursussen/","301",""
"MAP-0016","page","https://academy.octopus.be/nl/over-octopus-academy/","https://academy.octopus.be/nl/over-octopus-academy/","301",""
"MAP-0017","page","https://academy.octopus.be/nl/peppol-activeren-in-octopus/","https://academy.octopus.be/nl/cursussen/peppol/","301",""
"MAP-0018","page","https://academy.octopus.be/nl/privacy-policy/","https://academy.octopus.be/nl/privacy-policy/","301",""
"MAP-0019","page","https://academy.octopus.be/nl/registratie/","https://academy.octopus.be/nl/registratie/","301",""
"MAP-0020","page","https://academy.octopus.be/nl/test-event_hub/","","410","Technische/testpagina uit productie houden."
