url,path,content_type,source_sitemap,lastmod,suspected_test_page,has_uppercase_path,potential_duplicate_group
https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/,/nl/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:52:43+00:00,no,no,/nl/lessons/boeken-van-aankoopfactuur-met-kostenplaatsen
https://academy.octopus.be/nl/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/,/nl/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:51:36+00:00,no,no,/nl/lessons/boeken-van-aankoopfactuur-met-gespreide-kosten
https://academy.octopus.be/nl/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/,/nl/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:50:21+00:00,no,no,/nl/lessons/boeken-erelonen-en-koppelen-met-fiche-281-50
https://academy.octopus.be/nl/lessons/dossiers/,/nl/lessons/dossiers/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:49:29+00:00,no,no,/nl/lessons/dossiers
https://academy.octopus.be/nl/lessons/dossier-manager/,/nl/lessons/dossier-manager/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:48:16+00:00,no,no,/nl/lessons/dossier-manager
https://academy.octopus.be/nl/lessons/boekjaren/,/nl/lessons/boekjaren/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:46:51+00:00,no,no,/nl/lessons/boekjaren
https://academy.octopus.be/nl/lessons/dagboeken/,/nl/lessons/dagboeken/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:45:47+00:00,no,no,/nl/lessons/dagboeken
https://academy.octopus.be/nl/lessons/btw-codes/,/nl/lessons/btw-codes/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:44:46+00:00,no,no,/nl/lessons/btw-codes
https://academy.octopus.be/nl/lessons/muntcodes/,/nl/lessons/muntcodes/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:43:38+00:00,no,no,/nl/lessons/muntcodes
https://academy.octopus.be/nl/lessons/rekeningen/,/nl/lessons/rekeningen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:42:31+00:00,no,no,/nl/lessons/rekeningen
https://academy.octopus.be/nl/lessons/fiscale-aftrek/,/nl/lessons/fiscale-aftrek/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:40:43+00:00,no,no,/nl/lessons/fiscale-aftrek
https://academy.octopus.be/nl/lessons/relaties/,/nl/lessons/relaties/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:39:40+00:00,no,no,/nl/lessons/relaties
https://academy.octopus.be/nl/lessons/beheer-velden/,/nl/lessons/beheer-velden/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:38:28+00:00,no,no,/nl/lessons/beheer-velden
https://academy.octopus.be/nl/lessons/beheer-postcodes-en-landcodes/,/nl/lessons/beheer-postcodes-en-landcodes/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:37:28+00:00,no,no,/nl/lessons/beheer-postcodes-en-landcodes
https://academy.octopus.be/nl/lessons/beheer-afschrijvingen/,/nl/lessons/beheer-afschrijvingen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:36:13+00:00,no,no,/nl/lessons/beheer-afschrijvingen
https://academy.octopus.be/nl/lessons/beheer-leningen/,/nl/lessons/beheer-leningen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:35:07+00:00,no,no,/nl/lessons/beheer-leningen
https://academy.octopus.be/nl/lessons/intro-een-eerste-rondleiding-in-octopus/,/nl/lessons/intro-een-eerste-rondleiding-in-octopus/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:34:00+00:00,no,no,/nl/lessons/intro-een-eerste-rondleiding-in-octopus
https://academy.octopus.be/nl/lessons/intro-facturatie/,/nl/lessons/intro-facturatie/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:32:57+00:00,no,no,/nl/lessons/intro-facturatie
https://academy.octopus.be/nl/lessons/installatie-facturatiemodule/,/nl/lessons/installatie-facturatiemodule/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:31:45+00:00,no,no,/nl/lessons/installatie-facturatiemodule
https://academy.octopus.be/nl/lessons/artikels-en-artikelgroepen/,/nl/lessons/artikels-en-artikelgroepen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:30:37+00:00,no,no,/nl/lessons/artikels-en-artikelgroepen
https://academy.octopus.be/nl/lessons/offertes-of-leveringsnotas-aanmaken-en-bundelen/,/nl/lessons/offertes-of-leveringsnotas-aanmaken-en-bundelen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:29:07+00:00,no,no,/nl/lessons/offertes-of-leveringsnotas-aanmaken-en-bundelen
https://academy.octopus.be/nl/lessons/verkoopfacturen/,/nl/lessons/verkoopfacturen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:28:04+00:00,no,no,/nl/lessons/verkoopfacturen
https://academy.octopus.be/nl/lessons/dagboeken-2/,/nl/lessons/dagboeken-2/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:26:55+00:00,no,no,/nl/lessons/dagboeken-2
https://academy.octopus.be/nl/lessons/opzoeken-documenten-en-controle-dubbele-boekingen/,/nl/lessons/opzoeken-documenten-en-controle-dubbele-boekingen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:25:59+00:00,no,no,/nl/lessons/opzoeken-documenten-en-controle-dubbele-boekingen
https://academy.octopus.be/nl/lessons/gespreide-kosten/,/nl/lessons/gespreide-kosten/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:24:52+00:00,no,no,/nl/lessons/gespreide-kosten
https://academy.octopus.be/nl/lessons/afpuntingen/,/nl/lessons/afpuntingen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:23:51+00:00,no,no,/nl/lessons/afpuntingen
https://academy.octopus.be/nl/lessons/nazicht-klanten-of-leveranciers/,/nl/lessons/nazicht-klanten-of-leveranciers/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:22:37+00:00,no,no,/nl/lessons/nazicht-klanten-of-leveranciers
https://academy.octopus.be/nl/lessons/nazicht-rekeningen/,/nl/lessons/nazicht-rekeningen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:21:29+00:00,no,no,/nl/lessons/nazicht-rekeningen
https://academy.octopus.be/nl/lessons/historieken/,/nl/lessons/historieken/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:20:10+00:00,no,no,/nl/lessons/historieken
https://academy.octopus.be/nl/lessons/balansen/,/nl/lessons/balansen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:19:13+00:00,no,no,/nl/lessons/balansen
https://academy.octopus.be/nl/lessons/balansen-uitgebreid/,/nl/lessons/balansen-uitgebreid/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:17:38+00:00,no,no,/nl/lessons/balansen-uitgebreid
https://academy.octopus.be/nl/lessons/omzetvergelijking-klanten-of-leveranciers/,/nl/lessons/omzetvergelijking-klanten-of-leveranciers/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:16:41+00:00,no,no,/nl/lessons/omzetvergelijking-klanten-of-leveranciers
https://academy.octopus.be/nl/lessons/omzetvergelijking-btw/,/nl/lessons/omzetvergelijking-btw/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:15:23+00:00,no,no,/nl/lessons/omzetvergelijking-btw
https://academy.octopus.be/nl/lessons/aangiftes-btw-btw-listing-en-ic-listing/,/nl/lessons/aangiftes-btw-btw-listing-en-ic-listing/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:14:11+00:00,no,no,/nl/lessons/aangiftes-btw-btw-listing-en-ic-listing
https://academy.octopus.be/nl/lessons/oss-aangifte/,/nl/lessons/oss-aangifte/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:13:00+00:00,no,no,/nl/lessons/oss-aangifte
https://academy.octopus.be/nl/lessons/intrastat-aangifte/,/nl/lessons/intrastat-aangifte/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:11:50+00:00,no,no,/nl/lessons/intrastat-aangifte
https://academy.octopus.be/nl/lessons/investeringsoverzicht-en-afschrijvingstabel/,/nl/lessons/investeringsoverzicht-en-afschrijvingstabel/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:08:42+00:00,no,no,/nl/lessons/investeringsoverzicht-en-afschrijvingstabel
https://academy.octopus.be/nl/lessons/overzicht-leningen/,/nl/lessons/overzicht-leningen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:06:53+00:00,no,no,/nl/lessons/overzicht-leningen
https://academy.octopus.be/nl/lessons/fiche-281-50/,/nl/lessons/fiche-281-50/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:05:48+00:00,no,no,/nl/lessons/fiche-281-50
https://academy.octopus.be/nl/lessons/balansen-beknopt/,/nl/lessons/balansen-beknopt/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:04:46+00:00,no,no,/nl/lessons/balansen-beknopt
https://academy.octopus.be/nl/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/,/nl/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:03:35+00:00,no,no,/nl/lessons/afdrukken-en-verzenden-leveringsnotas-en-facturen
https://academy.octopus.be/nl/lessons/boeken-bankuittreksel/,/nl/lessons/boeken-bankuittreksel/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T16:02:31+00:00,no,no,/nl/lessons/boeken-bankuittreksel
https://academy.octopus.be/nl/lessons/boeken-kas/,/nl/lessons/boeken-kas/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:56:06+00:00,no,no,/nl/lessons/boeken-kas
https://academy.octopus.be/nl/lessons/boeken-diversen/,/nl/lessons/boeken-diversen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:40:46+00:00,no,no,/nl/lessons/boeken-diversen
https://academy.octopus.be/nl/lessons/automatische-diversen/,/nl/lessons/automatische-diversen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:39:35+00:00,no,no,/nl/lessons/automatische-diversen
